,corr
Fruits^-3.0 *HvyAlcoholConsump^-3.0,
Fruits^-3.0 *AnyHealthcare^-3.0,
Fruits^-3.0 *NoDocbcCost^-3.0,
Fruits^-3.0 *GenHlth^-3.0,
Fruits^-3.0 *MentHlth^-3.0,
Fruits^-3.0 *PhysHlth^-3.0,
Fruits^-3.0 *DiffWalk^-3.0,
Fruits^-3.0 *Sex^-3.0,
Fruits^-3.0 *Age^-3.0,
Fruits^-3.0 *Education^-3.0,
Fruits^-3.0 *Income^-3.0,
Veggies^-3.0 *HvyAlcoholConsump^-3.0,
Veggies^-3.0 *AnyHealthcare^-3.0,
Veggies^-3.0 *NoDocbcCost^-3.0,
Veggies^-3.0 *GenHlth^-3.0,
Veggies^-3.0 *MentHlth^-3.0,
Veggies^-3.0 *PhysHlth^-3.0,
Veggies^-3.0 *DiffWalk^-3.0,
Veggies^-3.0 *Sex^-3.0,
Veggies^-3.0 *Age^-3.0,
Veggies^-3.0 *Education^-3.0,
Veggies^-3.0 *Income^-3.0,
HvyAlcoholConsump^-3.0 *AnyHealthcare^-3.0,
HvyAlcoholConsump^-3.0 *NoDocbcCost^-3.0,
HvyAlcoholConsump^-3.0 *GenHlth^-3.0,
HvyAlcoholConsump^-3.0 *MentHlth^-3.0,
HvyAlcoholConsump^-3.0 *PhysHlth^-3.0,
HvyAlcoholConsump^-3.0 *DiffWalk^-3.0,
HvyAlcoholConsump^-3.0 *Sex^-3.0,
HvyAlcoholConsump^-3.0 *Age^-3.0,
HvyAlcoholConsump^-3.0 *Education^-3.0,
HvyAlcoholConsump^-3.0 *Income^-3.0,
AnyHealthcare^-3.0 *NoDocbcCost^-3.0,
AnyHealthcare^-3.0 *GenHlth^-3.0,
AnyHealthcare^-3.0 *MentHlth^-3.0,
AnyHealthcare^-3.0 *PhysHlth^-3.0,
AnyHealthcare^-3.0 *DiffWalk^-3.0,
AnyHealthcare^-3.0 *Sex^-3.0,
AnyHealthcare^-3.0 *Age^-3.0,
AnyHealthcare^-3.0 *Education^-3.0,
AnyHealthcare^-3.0 *Income^-3.0,
NoDocbcCost^-3.0 *GenHlth^-3.0,
NoDocbcCost^-3.0 *MentHlth^-3.0,
NoDocbcCost^-3.0 *PhysHlth^-3.0,
NoDocbcCost^-3.0 *DiffWalk^-3.0,
NoDocbcCost^-3.0 *Sex^-3.0,
NoDocbcCost^-3.0 *Age^-3.0,
NoDocbcCost^-3.0 *Education^-3.0,
NoDocbcCost^-3.0 *Income^-3.0,
GenHlth^-3.0 *MentHlth^-3.0,
GenHlth^-3.0 *PhysHlth^-3.0,
GenHlth^-3.0 *DiffWalk^-3.0,
GenHlth^-3.0 *Sex^-3.0,
GenHlth^-3.0 *Age^-3.0,-0.0474245405350805
GenHlth^-3.0 *Education^-3.0,-0.052154090506874785
GenHlth^-3.0 *Income^-3.0,-0.014957857748154765
MentHlth^-3.0 *PhysHlth^-3.0,
MentHlth^-3.0 *DiffWalk^-3.0,
MentHlth^-3.0 *Sex^-3.0,
MentHlth^-3.0 *Age^-3.0,
MentHlth^-3.0 *Education^-3.0,
MentHlth^-3.0 *Income^-3.0,
PhysHlth^-3.0 *DiffWalk^-3.0,
PhysHlth^-3.0 *Sex^-3.0,
PhysHlth^-3.0 *Age^-3.0,
PhysHlth^-3.0 *Education^-3.0,
PhysHlth^-3.0 *Income^-3.0,
DiffWalk^-3.0 *Sex^-3.0,
DiffWalk^-3.0 *Age^-3.0,
DiffWalk^-3.0 *Education^-3.0,
DiffWalk^-3.0 *Income^-3.0,
Sex^-3.0 *Age^-3.0,
Sex^-3.0 *Education^-3.0,
Sex^-3.0 *Income^-3.0,
Age^-3.0 *Education^-3.0,-0.021518756381900574
Age^-3.0 *Income^-3.0,-0.0185416343793565
Education^-3.0 *Income^-3.0,0.045679186073794904
HighBP^-3.0 *HighChol^-2.5,
HighBP^-3.0 *CholCheck^-2.5,
HighBP^-3.0 *BMI^-2.5,
HighBP^-3.0 *Smoker^-2.5,
HighBP^-3.0 *Stroke^-2.5,
HighBP^-3.0 *HeartDiseaseorAttack^-2.5,
HighBP^-3.0 *PhysActivity^-2.5,
HighBP^-3.0 *Fruits^-2.5,
HighBP^-3.0 *Veggies^-2.5,
HighBP^-3.0 *HvyAlcoholConsump^-2.5,
HighBP^-3.0 *AnyHealthcare^-2.5,
HighBP^-3.0 *NoDocbcCost^-2.5,
HighBP^-3.0 *GenHlth^-2.5,
HighBP^-3.0 *MentHlth^-2.5,
HighBP^-3.0 *PhysHlth^-2.5,
HighBP^-3.0 *DiffWalk^-2.5,
HighBP^-3.0 *Sex^-2.5,
HighBP^-3.0 *Age^-2.5,
HighBP^-3.0 *Education^-2.5,
HighBP^-3.0 *Income^-2.5,
HighChol^-3.0 *CholCheck^-2.5,
HighChol^-3.0 *BMI^-2.5,
HighChol^-3.0 *Smoker^-2.5,
HighChol^-3.0 *Stroke^-2.5,
HighChol^-3.0 *HeartDiseaseorAttack^-2.5,
HighChol^-3.0 *PhysActivity^-2.5,
HighChol^-3.0 *Fruits^-2.5,
HighChol^-3.0 *Veggies^-2.5,
HighChol^-3.0 *HvyAlcoholConsump^-2.5,
HighChol^-3.0 *AnyHealthcare^-2.5,
HighChol^-3.0 *NoDocbcCost^-2.5,
HighChol^-3.0 *GenHlth^-2.5,
HighChol^-3.0 *MentHlth^-2.5,
HighChol^-3.0 *PhysHlth^-2.5,
HighChol^-3.0 *DiffWalk^-2.5,
HighChol^-3.0 *Sex^-2.5,
HighChol^-3.0 *Age^-2.5,
HighChol^-3.0 *Education^-2.5,
HighChol^-3.0 *Income^-2.5,
CholCheck^-3.0 *BMI^-2.5,
CholCheck^-3.0 *Smoker^-2.5,
CholCheck^-3.0 *Stroke^-2.5,
CholCheck^-3.0 *HeartDiseaseorAttack^-2.5,
CholCheck^-3.0 *PhysActivity^-2.5,
CholCheck^-3.0 *Fruits^-2.5,
CholCheck^-3.0 *Veggies^-2.5,
CholCheck^-3.0 *HvyAlcoholConsump^-2.5,
CholCheck^-3.0 *AnyHealthcare^-2.5,
CholCheck^-3.0 *NoDocbcCost^-2.5,
CholCheck^-3.0 *GenHlth^-2.5,
CholCheck^-3.0 *MentHlth^-2.5,
CholCheck^-3.0 *PhysHlth^-2.5,
CholCheck^-3.0 *DiffWalk^-2.5,
CholCheck^-3.0 *Sex^-2.5,
CholCheck^-3.0 *Age^-2.5,
CholCheck^-3.0 *Education^-2.5,
CholCheck^-3.0 *Income^-2.5,
BMI^-3.0 *Smoker^-2.5,
BMI^-3.0 *Stroke^-2.5,
BMI^-3.0 *HeartDiseaseorAttack^-2.5,
BMI^-3.0 *PhysActivity^-2.5,
BMI^-3.0 *Fruits^-2.5,
BMI^-3.0 *Veggies^-2.5,
BMI^-3.0 *HvyAlcoholConsump^-2.5,
BMI^-3.0 *AnyHealthcare^-2.5,
BMI^-3.0 *NoDocbcCost^-2.5,
BMI^-3.0 *GenHlth^-2.5,-0.18085361402739328
BMI^-3.0 *MentHlth^-2.5,
BMI^-3.0 *PhysHlth^-2.5,
BMI^-3.0 *DiffWalk^-2.5,
BMI^-3.0 *Sex^-2.5,
BMI^-3.0 *Age^-2.5,-0.06920003203212514
BMI^-3.0 *Education^-2.5,-0.010462918353112001
BMI^-3.0 *Income^-2.5,0.01877024510542087
Smoker^-3.0 *Stroke^-2.5,
Smoker^-3.0 *HeartDiseaseorAttack^-2.5,
Smoker^-3.0 *PhysActivity^-2.5,
Smoker^-3.0 *Fruits^-2.5,
Smoker^-3.0 *Veggies^-2.5,
Smoker^-3.0 *HvyAlcoholConsump^-2.5,
Smoker^-3.0 *AnyHealthcare^-2.5,
Smoker^-3.0 *NoDocbcCost^-2.5,
Smoker^-3.0 *GenHlth^-2.5,
Smoker^-3.0 *MentHlth^-2.5,
Smoker^-3.0 *PhysHlth^-2.5,
Smoker^-3.0 *DiffWalk^-2.5,
Smoker^-3.0 *Sex^-2.5,
Smoker^-3.0 *Age^-2.5,
Smoker^-3.0 *Education^-2.5,
Smoker^-3.0 *Income^-2.5,
Stroke^-3.0 *HeartDiseaseorAttack^-2.5,
Stroke^-3.0 *PhysActivity^-2.5,
Stroke^-3.0 *Fruits^-2.5,
Stroke^-3.0 *Veggies^-2.5,
Stroke^-3.0 *HvyAlcoholConsump^-2.5,
Stroke^-3.0 *AnyHealthcare^-2.5,
Stroke^-3.0 *NoDocbcCost^-2.5,
Stroke^-3.0 *GenHlth^-2.5,
Stroke^-3.0 *MentHlth^-2.5,
Stroke^-3.0 *PhysHlth^-2.5,
Stroke^-3.0 *DiffWalk^-2.5,
Stroke^-3.0 *Sex^-2.5,
Stroke^-3.0 *Age^-2.5,
Stroke^-3.0 *Education^-2.5,
Stroke^-3.0 *Income^-2.5,
HeartDiseaseorAttack^-3.0 *PhysActivity^-2.5,
HeartDiseaseorAttack^-3.0 *Fruits^-2.5,
HeartDiseaseorAttack^-3.0 *Veggies^-2.5,
HeartDiseaseorAttack^-3.0 *HvyAlcoholConsump^-2.5,
HeartDiseaseorAttack^-3.0 *AnyHealthcare^-2.5,
HeartDiseaseorAttack^-3.0 *NoDocbcCost^-2.5,
HeartDiseaseorAttack^-3.0 *GenHlth^-2.5,
HeartDiseaseorAttack^-3.0 *MentHlth^-2.5,
HeartDiseaseorAttack^-3.0 *PhysHlth^-2.5,
HeartDiseaseorAttack^-3.0 *DiffWalk^-2.5,
HeartDiseaseorAttack^-3.0 *Sex^-2.5,
HeartDiseaseorAttack^-3.0 *Age^-2.5,
HeartDiseaseorAttack^-3.0 *Education^-2.5,
HeartDiseaseorAttack^-3.0 *Income^-2.5,
PhysActivity^-3.0 *Fruits^-2.5,
PhysActivity^-3.0 *Veggies^-2.5,
PhysActivity^-3.0 *HvyAlcoholConsump^-2.5,
PhysActivity^-3.0 *AnyHealthcare^-2.5,
PhysActivity^-3.0 *NoDocbcCost^-2.5,
PhysActivity^-3.0 *GenHlth^-2.5,
PhysActivity^-3.0 *MentHlth^-2.5,
PhysActivity^-3.0 *PhysHlth^-2.5,
PhysActivity^-3.0 *DiffWalk^-2.5,
PhysActivity^-3.0 *Sex^-2.5,
PhysActivity^-3.0 *Age^-2.5,
PhysActivity^-3.0 *Education^-2.5,
PhysActivity^-3.0 *Income^-2.5,
Fruits^-3.0 *Veggies^-2.5,
Fruits^-3.0 *HvyAlcoholConsump^-2.5,
Fruits^-3.0 *AnyHealthcare^-2.5,
Fruits^-3.0 *NoDocbcCost^-2.5,
Fruits^-3.0 *GenHlth^-2.5,
Fruits^-3.0 *MentHlth^-2.5,
Fruits^-3.0 *PhysHlth^-2.5,
Fruits^-3.0 *DiffWalk^-2.5,
Fruits^-3.0 *Sex^-2.5,
Fruits^-3.0 *Age^-2.5,
Fruits^-3.0 *Education^-2.5,
Fruits^-3.0 *Income^-2.5,
Veggies^-3.0 *HvyAlcoholConsump^-2.5,
Veggies^-3.0 *AnyHealthcare^-2.5,
Veggies^-3.0 *NoDocbcCost^-2.5,
Veggies^-3.0 *GenHlth^-2.5,
Veggies^-3.0 *MentHlth^-2.5,
Veggies^-3.0 *PhysHlth^-2.5,
Veggies^-3.0 *DiffWalk^-2.5,
Veggies^-3.0 *Sex^-2.5,
Veggies^-3.0 *Age^-2.5,
Veggies^-3.0 *Education^-2.5,
Veggies^-3.0 *Income^-2.5,
HvyAlcoholConsump^-3.0 *AnyHealthcare^-2.5,
HvyAlcoholConsump^-3.0 *NoDocbcCost^-2.5,
HvyAlcoholConsump^-3.0 *GenHlth^-2.5,
HvyAlcoholConsump^-3.0 *MentHlth^-2.5,
HvyAlcoholConsump^-3.0 *PhysHlth^-2.5,
HvyAlcoholConsump^-3.0 *DiffWalk^-2.5,
HvyAlcoholConsump^-3.0 *Sex^-2.5,
HvyAlcoholConsump^-3.0 *Age^-2.5,
HvyAlcoholConsump^-3.0 *Education^-2.5,
HvyAlcoholConsump^-3.0 *Income^-2.5,
AnyHealthcare^-3.0 *NoDocbcCost^-2.5,
AnyHealthcare^-3.0 *GenHlth^-2.5,
AnyHealthcare^-3.0 *MentHlth^-2.5,
AnyHealthcare^-3.0 *PhysHlth^-2.5,
AnyHealthcare^-3.0 *DiffWalk^-2.5,
AnyHealthcare^-3.0 *Sex^-2.5,
AnyHealthcare^-3.0 *Age^-2.5,
AnyHealthcare^-3.0 *Education^-2.5,
AnyHealthcare^-3.0 *Income^-2.5,
NoDocbcCost^-3.0 *GenHlth^-2.5,
NoDocbcCost^-3.0 *MentHlth^-2.5,
NoDocbcCost^-3.0 *PhysHlth^-2.5,
NoDocbcCost^-3.0 *DiffWalk^-2.5,
NoDocbcCost^-3.0 *Sex^-2.5,
NoDocbcCost^-3.0 *Age^-2.5,
NoDocbcCost^-3.0 *Education^-2.5,
NoDocbcCost^-3.0 *Income^-2.5,
GenHlth^-3.0 *MentHlth^-2.5,
GenHlth^-3.0 *PhysHlth^-2.5,
GenHlth^-3.0 *DiffWalk^-2.5,
GenHlth^-3.0 *Sex^-2.5,
GenHlth^-3.0 *Age^-2.5,-0.055123325658910455
GenHlth^-3.0 *Education^-2.5,-0.08928713818511053
GenHlth^-3.0 *Income^-2.5,-0.020970007397796444
MentHlth^-3.0 *PhysHlth^-2.5,
MentHlth^-3.0 *DiffWalk^-2.5,
MentHlth^-3.0 *Sex^-2.5,
MentHlth^-3.0 *Age^-2.5,
MentHlth^-3.0 *Education^-2.5,
MentHlth^-3.0 *Income^-2.5,
PhysHlth^-3.0 *DiffWalk^-2.5,
PhysHlth^-3.0 *Sex^-2.5,
PhysHlth^-3.0 *Age^-2.5,
PhysHlth^-3.0 *Education^-2.5,
PhysHlth^-3.0 *Income^-2.5,
DiffWalk^-3.0 *Sex^-2.5,
DiffWalk^-3.0 *Age^-2.5,
DiffWalk^-3.0 *Education^-2.5,
DiffWalk^-3.0 *Income^-2.5,
Sex^-3.0 *Age^-2.5,
Sex^-3.0 *Education^-2.5,
Sex^-3.0 *Income^-2.5,
Age^-3.0 *Education^-2.5,-0.037319699856092556
Age^-3.0 *Income^-2.5,-0.02073781877415911
Education^-3.0 *Income^-2.5,0.04845394438091171
HighBP^-3.0 *HighChol^-2.0,
HighBP^-3.0 *CholCheck^-2.0,
HighBP^-3.0 *BMI^-2.0,
HighBP^-3.0 *Smoker^-2.0,
HighBP^-3.0 *Stroke^-2.0,
HighBP^-3.0 *HeartDiseaseorAttack^-2.0,
HighBP^-3.0 *PhysActivity^-2.0,
HighBP^-3.0 *Fruits^-2.0,
HighBP^-3.0 *Veggies^-2.0,
HighBP^-3.0 *HvyAlcoholConsump^-2.0,
HighBP^-3.0 *AnyHealthcare^-2.0,
HighBP^-3.0 *NoDocbcCost^-2.0,
HighBP^-3.0 *GenHlth^-2.0,
HighBP^-3.0 *MentHlth^-2.0,
HighBP^-3.0 *PhysHlth^-2.0,
HighBP^-3.0 *DiffWalk^-2.0,
HighBP^-3.0 *Sex^-2.0,
HighBP^-3.0 *Age^-2.0,
HighBP^-3.0 *Education^-2.0,
HighBP^-3.0 *Income^-2.0,
HighChol^-3.0 *CholCheck^-2.0,
HighChol^-3.0 *BMI^-2.0,
HighChol^-3.0 *Smoker^-2.0,
HighChol^-3.0 *Stroke^-2.0,
HighChol^-3.0 *HeartDiseaseorAttack^-2.0,
HighChol^-3.0 *PhysActivity^-2.0,
HighChol^-3.0 *Fruits^-2.0,
HighChol^-3.0 *Veggies^-2.0,
HighChol^-3.0 *HvyAlcoholConsump^-2.0,
HighChol^-3.0 *AnyHealthcare^-2.0,
HighChol^-3.0 *NoDocbcCost^-2.0,
HighChol^-3.0 *GenHlth^-2.0,
HighChol^-3.0 *MentHlth^-2.0,
HighChol^-3.0 *PhysHlth^-2.0,
HighChol^-3.0 *DiffWalk^-2.0,
HighChol^-3.0 *Sex^-2.0,
HighChol^-3.0 *Age^-2.0,
HighChol^-3.0 *Education^-2.0,
HighChol^-3.0 *Income^-2.0,
CholCheck^-3.0 *BMI^-2.0,
CholCheck^-3.0 *Smoker^-2.0,
CholCheck^-3.0 *Stroke^-2.0,
CholCheck^-3.0 *HeartDiseaseorAttack^-2.0,
CholCheck^-3.0 *PhysActivity^-2.0,
CholCheck^-3.0 *Fruits^-2.0,
CholCheck^-3.0 *Veggies^-2.0,
CholCheck^-3.0 *HvyAlcoholConsump^-2.0,
CholCheck^-3.0 *AnyHealthcare^-2.0,
CholCheck^-3.0 *NoDocbcCost^-2.0,
CholCheck^-3.0 *GenHlth^-2.0,
CholCheck^-3.0 *MentHlth^-2.0,
CholCheck^-3.0 *PhysHlth^-2.0,
CholCheck^-3.0 *DiffWalk^-2.0,
CholCheck^-3.0 *Sex^-2.0,
CholCheck^-3.0 *Age^-2.0,
CholCheck^-3.0 *Education^-2.0,
CholCheck^-3.0 *Income^-2.0,
BMI^-3.0 *Smoker^-2.0,
BMI^-3.0 *Stroke^-2.0,
BMI^-3.0 *HeartDiseaseorAttack^-2.0,
BMI^-3.0 *PhysActivity^-2.0,
BMI^-3.0 *Fruits^-2.0,
BMI^-3.0 *Veggies^-2.0,
BMI^-3.0 *HvyAlcoholConsump^-2.0,
BMI^-3.0 *AnyHealthcare^-2.0,
BMI^-3.0 *NoDocbcCost^-2.0,
BMI^-3.0 *GenHlth^-2.0,-0.19469821696108636
BMI^-3.0 *MentHlth^-2.0,
BMI^-3.0 *PhysHlth^-2.0,
BMI^-3.0 *DiffWalk^-2.0,
BMI^-3.0 *Sex^-2.0,
BMI^-3.0 *Age^-2.0,-0.08272757730214757
BMI^-3.0 *Education^-2.0,-0.04008643331609821
BMI^-3.0 *Income^-2.0,0.015320028855445537
Smoker^-3.0 *Stroke^-2.0,
Smoker^-3.0 *HeartDiseaseorAttack^-2.0,
Smoker^-3.0 *PhysActivity^-2.0,
Smoker^-3.0 *Fruits^-2.0,
Smoker^-3.0 *Veggies^-2.0,
Smoker^-3.0 *HvyAlcoholConsump^-2.0,
Smoker^-3.0 *AnyHealthcare^-2.0,
Smoker^-3.0 *NoDocbcCost^-2.0,
Smoker^-3.0 *GenHlth^-2.0,
Smoker^-3.0 *MentHlth^-2.0,
Smoker^-3.0 *PhysHlth^-2.0,
Smoker^-3.0 *DiffWalk^-2.0,
Smoker^-3.0 *Sex^-2.0,
Smoker^-3.0 *Age^-2.0,
Smoker^-3.0 *Education^-2.0,
Smoker^-3.0 *Income^-2.0,
Stroke^-3.0 *HeartDiseaseorAttack^-2.0,
Stroke^-3.0 *PhysActivity^-2.0,
Stroke^-3.0 *Fruits^-2.0,
Stroke^-3.0 *Veggies^-2.0,
Stroke^-3.0 *HvyAlcoholConsump^-2.0,
Stroke^-3.0 *AnyHealthcare^-2.0,
Stroke^-3.0 *NoDocbcCost^-2.0,
Stroke^-3.0 *GenHlth^-2.0,
Stroke^-3.0 *MentHlth^-2.0,
Stroke^-3.0 *PhysHlth^-2.0,
Stroke^-3.0 *DiffWalk^-2.0,
Stroke^-3.0 *Sex^-2.0,
Stroke^-3.0 *Age^-2.0,
Stroke^-3.0 *Education^-2.0,
Stroke^-3.0 *Income^-2.0,
HeartDiseaseorAttack^-3.0 *PhysActivity^-2.0,
HeartDiseaseorAttack^-3.0 *Fruits^-2.0,
HeartDiseaseorAttack^-3.0 *Veggies^-2.0,
HeartDiseaseorAttack^-3.0 *HvyAlcoholConsump^-2.0,
HeartDiseaseorAttack^-3.0 *AnyHealthcare^-2.0,
HeartDiseaseorAttack^-3.0 *NoDocbcCost^-2.0,
HeartDiseaseorAttack^-3.0 *GenHlth^-2.0,
HeartDiseaseorAttack^-3.0 *MentHlth^-2.0,
HeartDiseaseorAttack^-3.0 *PhysHlth^-2.0,
HeartDiseaseorAttack^-3.0 *DiffWalk^-2.0,
HeartDiseaseorAttack^-3.0 *Sex^-2.0,
HeartDiseaseorAttack^-3.0 *Age^-2.0,
HeartDiseaseorAttack^-3.0 *Education^-2.0,
HeartDiseaseorAttack^-3.0 *Income^-2.0,
PhysActivity^-3.0 *Fruits^-2.0,
PhysActivity^-3.0 *Veggies^-2.0,
PhysActivity^-3.0 *HvyAlcoholConsump^-2.0,
PhysActivity^-3.0 *AnyHealthcare^-2.0,
PhysActivity^-3.0 *NoDocbcCost^-2.0,
PhysActivity^-3.0 *GenHlth^-2.0,
PhysActivity^-3.0 *MentHlth^-2.0,
PhysActivity^-3.0 *PhysHlth^-2.0,
PhysActivity^-3.0 *DiffWalk^-2.0,
PhysActivity^-3.0 *Sex^-2.0,
PhysActivity^-3.0 *Age^-2.0,
PhysActivity^-3.0 *Education^-2.0,
PhysActivity^-3.0 *Income^-2.0,
Fruits^-3.0 *Veggies^-2.0,
Fruits^-3.0 *HvyAlcoholConsump^-2.0,
Fruits^-3.0 *AnyHealthcare^-2.0,
Fruits^-3.0 *NoDocbcCost^-2.0,
Fruits^-3.0 *GenHlth^-2.0,
Fruits^-3.0 *MentHlth^-2.0,
Fruits^-3.0 *PhysHlth^-2.0,
Fruits^-3.0 *DiffWalk^-2.0,
Fruits^-3.0 *Sex^-2.0,
Fruits^-3.0 *Age^-2.0,
Fruits^-3.0 *Education^-2.0,
Fruits^-3.0 *Income^-2.0,
Veggies^-3.0 *HvyAlcoholConsump^-2.0,
Veggies^-3.0 *AnyHealthcare^-2.0,
Veggies^-3.0 *NoDocbcCost^-2.0,
